company,year,sector,industry,annual_revenue,election_year,total_contributions,to_democrats,to_republicans,sentiment_score,treat,After
Perry Homes,2020,housing,construction,1212340000,1,86598,3517,83054,0.35,1,1
Perry Homes,2018,housing,construction,1034000000,0,136743,155,121588,0.093,1,0
JPMorgan Chase and Co,2020,finance,banking,1.42E+11,1,4127659,2691295,1133405,0,0,1
JPMorgan Chase and Co,2018,finance,banking,1.30E+11,0,3041611,1672693,1288609,0.11,1,0
Las Vegas Sands,2020,hotels,hotels,13739000000,1,91581032,13369,91567584,0.38,1,1
Las Vegas Sands,2018,hotels,hotels,13729000000,0,62340508,8990,62330018,-0.28,0,0
Citadel LLC,2020,finance,hedge funds,3260000000,1,18490200,140136,18349564,-0.875,0,1
Citadel LLC,2018,finance,hedge funds,3500000000,0,19607080,321330,19285750,-0.105,0,0
Renaissance Technologies,2020,finance,investment management,9700000,1,18378805,18069150,292855,1.28,1,1
Renaissance Technologies,2018,finance,investment management,9700000,0,15785164,9651291,5956773,-0.03,0,0
Blackstone Group,2020,finance,investment management,7338000000,1,36891767,5705174,31181573,0.32,1,1
Blackstone Group,2018,finance,investment management,6833000000,0,15762285,2053087,13707108,-1.8,0,0
Microsoft Corp,2020,computer & technology,computer software,1.43E+11,1,17001468,15638313,1266985,-0.17,0,1
Microsoft Corp,2018,computer & technology,computer software,1.26E+11,0,14410128,12074270,1734833,-0.28,0,0
Koch Industries,2020,multicompany,multicompany,1.15E+11,1,13883214,251548,13630773,-0.508,0,1
Koch Industries,2018,multicompany,multicompany,1.10E+11,0,12105259,69159,11985999,-0.0582,0,0
Charles Schwab Corp,2020,finance,investment banking,10721000000,1,15075533,671469,14402196,0.41,1,1
Charles Schwab Corp,2018,finance,investment banking,10132000000,0,10288767,319513,9968401,0.18,1,0
Marcus & Millichap,2020,finance,real estate development,806000000,1,12831004,12794890,36047,0.21,1,1
Marcus & Millichap,2018,finance,real estate development,815000000,0,9688457,9597307,91150,-0.35,0,0
Bain Capital,2020,finance,commercial finance,198000000,1,17732417,17502517,193700,0.26,1,1
Bain Capital,2018,finance,commercial finance,99000000,0,8985928,8380472,128400,-0.07,0,0
Alphabet Inc,2020,computer & technology,internet services,1.62E+11,1,21177686,19878233,1101801,0.2051,1,1
Alphabet Inc,2018,computer & technology,internet services,1.37E+11,0,8209648,6897804,1255858,-0.4839,0,0
University of California,2020,education,education,36861977000,1,19852170,19386460,326560,0.54,1,1
University of California,2018,education,education,34625296000,0,7626569,7361055,238732,0.27,1,0
Elliott Management,2020,finance,investment management,13300000000,1,10390665,288988,9825177,0,0,1
Elliott Management,2018,finance,investment management,4700000000,0,6876898,76946,6797250,-0.46,0,0
MasterCard,2020,business services,financial transaction services,16883000000,1,540643,371673,164097,-0.17,0,1
MasterCard,2018,business services,financial transaction services,14950000000,0,428777,234264,192820,0.45,1,0
Visa,2020,business services,financial transaction services,21846000000,1,1243599,777681,449527,-0.13,0,1
Visa,2018,business services,financial transaction services,22977000000,0,948333,488806,454799,-0.423,0,0
Intel Corp,2020,computer & technology,semiconductors,71965000000,1,2838093,2078458,679076,-0.217,0,1
Intel Corp,2018,computer & technology,semiconductors,70848000000,0,1863001,1083319,704029,0.03,1,0
Verizon Communications,2020,computer & technology,telecommunications,1.32E+11,1,3885977,2625372,1116265,-0.2,0,1
Verizon Communications,2018,computer & technology,telecommunications,1.31E+11,0,2982674,1426614,1327681,-0.0222,0,0
Cisco Systems,2020,computer & technology,computer networks,49301000000,1,2381006,1930786,314990,-0.25,0,1
Cisco Systems,2018,computer & technology,computer networks,51904000000,0,1628852,1120445,408852,0.37,1,0
